,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
933,Tokyo Godfathers,2003,7.8,73.0,32219,0.13,92
934,The Virgin Spring,1960,8.1,,26975,1.53,89
935,L'Avventura,1960,7.9,,26915,,144
936,The Magdalene Sisters,2002,7.7,83.0,26075,4.89,114
937,Elite Squad 2: The Enemy Within,2010,8.0,71.0,79663,0.1,115
938,Pink,2016,8.1,,39697,1.24,136
939,Love and Death,1975,7.7,89.0,36388,,85
940,Lifeboat,1944,7.6,78.0,26677,,97
941,My Sassy Girl,2001,8.0,,45645,,137
942,Talvar,2015,8.2,,31484,0.34,132
943,Sanjuro,1962,8.1,,33584,,96
944,Kahaani,2012,8.1,,58200,1.04,122
945,Central Station,1998,8.0,80.0,36780,5.6,115
946,The Triplets of Belleville,2003,7.8,91.0,50884,7.0,78
947,The Killer,1989,7.8,82.0,45887,,111
948,The Ladykillers,1955,7.7,91.0,26795,,91
949,Uri: The Surgical Strike,2018,8.2,,44072,4.19,138
950,Barfi!,2012,8.1,,76273,2.8,151
951,Hiroshima Mon Amour,1959,7.9,,28835,0.09,90
952,Miracle on 34th Street,1947,7.9,88.0,41839,2.65,96
953,The Lost Weekend,1945,7.9,,33852,9.46,101
954,Nine Queens,2000,7.9,80.0,50108,1.22,114
955,Munna Bhai M.B.B.S.,2003,8.1,,74554,,156
956,Dilwale Dulhania Le Jayenge,1995,8.1,,63980,,181
957,Haider,2014,8.1,,50741,0.9,160
958,Duck Soup,1933,7.8,93.0,55852,,69
959,Hera Pheri,2000,8.2,,57697,,156
960,Dil Chahta Hai,2001,8.1,,67233,0.3,183
961,Black,2005,8.2,,33519,0.73,122
962,Sherlock Jr.,1924,8.2,,42883,0.98,45
963,Baby,2015,8.0,,53113,,159
964,Knockin' on Heaven's Door,1997,8.0,,27993,0.0,87
965,Badhaai Ho,2018,8.0,,28418,,124
966,White Heat,1949,8.1,,30071,,114
967,The Shop Around the Corner,1940,8.1,96.0,28779,0.2,99
968,C.R.A.Z.Y.,2005,7.9,81.0,31577,,129
969,Joyeux Noel,2005,7.7,70.0,28135,1.05,116
970,Udaan,2010,8.2,,42570,0.01,134
971,Special 26,2013,8.0,,51410,1.08,144
972,Veer-Zaara,2004,7.8,67.0,49448,2.92,192
973,Udta Punjab,2016,7.8,,27409,,148
974,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37996,1.11,140
975,Zelig,1983,7.7,,40173,11.8,79
976,The Muppet Christmas Carol,1992,7.7,64.0,50589,27.28,85
977,Andaz Apna Apna,1994,8.2,,49589,,160
978,Le Dîner de Cons,1998,7.7,73.0,37712,4.07,80
979,Jab We Met,2007,7.9,,48102,0.41,138
980,The Rules of the Game,1939,8.0,,26957,,110
981,La Grande Illusion,1937,8.1,,34104,0.17,113
982,The Edge of Heaven,2007,7.8,85.0,30962,0.74,122
983,A Wednesday,2008,8.1,,74238,,104
984,A Night at the Opera,1935,7.9,,30765,2.54,96
985,English Vinglish,2012,7.8,,33883,1.67,134
986,Raazi,2018,7.8,,25725,,138
987,Chak De! India,2007,8.2,68.0,74695,1.11,153
988,Kai Po Che,2013,7.7,40.0,32990,1.12,120
989,Sholay,1975,8.2,,51651,,162
990,Paan Singh Tomar,2012,8.2,,33478,0.04,135
991,The Circus,1928,8.1,90.0,30635,,72
992,Dev.D,2009,8.0,,28920,0.01,144
993,OMG: Oh My God!,2012,8.1,,52201,0.92,125
994,Airlift,2016,8.0,,53120,,130
995,Lage Raho Munna Bhai,2006,8.1,,43422,2.22,144
996,Vizontele,2001,8.0,,33956,,110
997,M.S. Dhoni: The Untold Story,2016,7.8,,41043,1.78,184
998,The Breath,2009,8.0,,32052,,128
999,Vicky Donor,2012,7.8,,39950,0.17,126
