,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
151,My Fair Lady,1964,7.8,95.0,87287,72.0,170
152,Rogue One: A Star Wars Story,2016,7.8,65.0,562310,532.18,133
153,Sicario,2015,7.6,82.0,376189,46.89,121
154,La La Land,2016,8.0,94.0,513617,151.1,128
155,The Girl with the Dragon Tattoo,2011,7.8,71.0,427603,102.52,158
156,Zootopia,2016,8.0,78.0,439358,341.27,108
157,The Big Lebowski,1998,8.1,71.0,739025,17.5,117
158,Oldboy,2003,8.4,77.0,521712,0.71,120
159,Mulholland Drive,2001,7.9,85.0,325685,7.22,147
160,Inside Man,2006,7.6,76.0,343815,88.51,129
161,The Hateful Eight,2015,7.8,68.0,524773,54.12,168
162,Black Swan,2010,8.0,79.0,705407,106.95,108
163,Almost Famous,2000,7.9,90.0,254855,32.53,122
164,Wind River,2017,7.7,73.0,210634,33.8,107
165,Die Hard,1988,8.2,72.0,799321,83.01,132
166,Stand by Me,1986,8.1,75.0,366662,52.29,89
167,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,920049,34.4,108
168,Boogie Nights,1997,7.9,85.0,241830,26.4,155
169,The Revenant,2015,8.0,76.0,714460,183.64,156
170,Full Metal Jacket,1987,8.3,76.0,681464,46.36,116
171,Nightcrawler,2014,7.9,76.0,473656,32.38,117
172,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,606305,258.37,161
173,Platoon,1986,8.1,92.0,384508,138.53,120
174,"The Good, the Bad and the Ugly",1966,8.8,90.0,695144,6.1,178
175,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,558839,249.36,142
176,Hacksaw Ridge,2016,8.1,71.0,443518,67.21,139
177,Breakfast at Tiffany's,1961,7.6,76.0,168159,,115
178,Kill Bill: Vol. 1,2003,8.1,69.0,1010457,70.1,111
179,American History X,1998,8.5,62.0,1042971,6.72,119
180,The Peanut Butter Falcon,2019,7.6,70.0,69035,13.12,97
181,The Imitation Game,2014,8.0,73.0,692918,91.13,114
182,Zodiac,2007,7.7,78.0,473808,33.08,157
183,Her,2013,8.0,90.0,547630,25.57,126
184,City of God,2002,8.6,79.0,704867,7.56,130
185,Room,2015,8.1,86.0,377142,14.68,118
186,A Beautiful Mind,2001,8.2,72.0,857778,170.74,135
187,The Notebook,2004,7.8,53.0,525663,81.0,123
188,Kick-Ass,2010,7.6,66.0,527830,48.07,117
189,Back to the Future Part II,1989,7.8,57.0,486082,118.5,108
190,X-Men: Days of Future Past,2014,7.9,75.0,665041,233.92,132
191,2001: A Space Odyssey,1968,8.3,84.0,609614,56.95,149
192,Drive,2011,7.8,78.0,577126,35.06,100
193,Psycho,1960,8.5,97.0,610561,32.0,109
194,Atonement,2007,7.8,85.0,254347,50.93,123
195,Portrait of a Lady on Fire,2019,8.1,95.0,67788,3.76,122
196,Ex Machina,2014,7.7,78.0,478976,25.44,108
197,Once Upon a Time in America,1984,8.4,,315268,5.32,229
198,The Handmaiden,2016,8.1,84.0,117444,2.01,145
199,Casino,1995,8.2,73.0,471826,42.44,178
200,Catch Me If You Can,2002,8.1,75.0,845773,164.62,141
201,Casino Royale,2006,8.0,80.0,585920,167.45,144
202,True Romance,1993,7.9,59.0,208697,12.28,119
203,Ghostbusters,1984,7.8,71.0,358400,238.63,105
204,Coco,2017,8.4,81.0,396049,209.73,105
205,Casablanca,1942,8.5,100.0,526954,1.02,102
206,X-Men: First Class,2011,7.7,65.0,649856,146.41,131
207,Dallas Buyers Club,2013,8.0,80.0,446895,27.3,117
208,Life Is Beautiful,1997,8.6,59.0,630958,57.6,116
209,Indiana Jones and the Last Crusade,1989,8.2,65.0,697482,197.17,127
210,Toy Story,1995,8.3,95.0,896775,191.8,81
211,The Third Man,1949,8.1,97.0,160077,0.45,93
212,The Hangover,2009,7.7,73.0,721932,277.32,100
213,Inside Out,2015,8.1,94.0,625631,356.46,95
214,Your Name.,2016,8.4,79.0,202343,5.02,106
215,V for Vendetta,2005,8.2,62.0,1041231,70.51,132
216,Capernaum,2018,8.4,75.0,66064,1.66,126
217,Ratatouille,2007,8.0,96.0,648426,206.45,111
218,Spotlight,2015,8.1,93.0,426023,45.06,129
219,12 Monkeys,1995,8.0,74.0,582568,57.14,129
220,Sin City,2005,8.0,74.0,740584,74.1,124
221,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,484848,295.98,146
222,The Incredibles,2004,8.0,90.0,662375,261.44,115
223,The Blues Brothers,1980,7.9,60.0,184789,57.23,133
224,Brokeback Mountain,2005,7.7,87.0,325824,83.04,134
225,Little Miss Sunshine,2006,7.8,80.0,443300,59.89,101
226,Dark Waters,2019,7.6,73.0,64861,,126
227,The Godfather: Part III,1990,7.6,60.0,363991,66.67,162
228,A Few Good Men,1992,7.7,62.0,237774,141.34,138
229,Ferris Bueller's Day Off,1986,7.8,61.0,323803,70.14,103
230,The Ten Commandments,1956,7.9,,64183,93.74,220
231,Manchester by the Sea,2016,7.8,96.0,250767,47.7,137
232,Rain Man,1988,8.0,65.0,476972,178.8,133
233,E.T. the Extra-Terrestrial,1982,7.8,91.0,375523,435.11,115
234,Apocalypto,2006,7.8,68.0,293039,50.87,139
235,Office Space,1999,7.7,68.0,243928,10.82,89
236,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,540242,3.9,107
237,Come and See,1985,8.3,,61000,,142
238,Ocean's Eleven,2001,7.7,74.0,521259,183.42,116
239,The Sound of Music,1965,8.0,63.0,208922,163.21,172
240,Lawrence of Arabia,1962,8.3,100.0,270626,44.82,228
241,Predator,1987,7.8,45.0,374479,59.74,107
242,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,866583,936.66,138
243,Howl's Moving Castle,2004,8.2,80.0,340010,4.71,119
244,Jaws,1975,8.0,87.0,546582,260.0,124
245,Apollo 13,1995,7.6,77.0,272096,173.84,140
246,12 Years a Slave,2013,8.1,96.0,647259,56.67,134
247,Blood Simple,1984,7.6,83.0,88880,2.15,99
248,Big Hero 6,2014,7.8,74.0,414987,222.53,102
249,Marriage Story,2019,7.9,94.0,253705,2.0,137
250,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,480512,301.96,153
251,Warrior,2011,8.2,71.0,439609,13.66,140
252,Pan's Labyrinth,2006,8.2,98.0,623577,37.63,118
253,Hot Fuzz,2007,7.8,81.0,467056,23.64,121
254,The Sixth Sense,1999,8.1,64.0,918199,293.51,107
255,Edge of Tomorrow,2014,7.9,71.0,605611,100.21,113
256,In the Mood for Love,2000,8.1,85.0,127189,2.73,98
257,Sherlock Holmes,2009,7.6,57.0,586777,209.03,128
258,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1170153,290.48,124
259,Unforgiven,1992,8.2,85.0,379495,101.16,130
260,Tangled,2010,7.7,71.0,409641,200.82,100
261,Home Alone,1990,7.6,63.0,492822,285.76,103
262,Shaun of the Dead,2004,7.9,76.0,515914,13.54,99
263,The Thing,1982,8.1,57.0,375085,13.78,109
264,Shrek,2001,7.8,84.0,618540,267.67,90
265,Lost in Translation,2003,7.7,89.0,419464,44.59,102
266,Toy Story 4,2019,7.8,84.0,208393,434.04,100
267,American Gangster,2007,7.8,76.0,395961,130.16,157
268,Sleepers,1996,7.6,49.0,188271,49.1,147
269,Gone with the Wind,1939,8.1,97.0,292571,198.68,238
270,L.A. Confidential,1997,8.2,90.0,536628,64.62,138
271,Incendies,2010,8.3,80.0,153044,6.86,130
272,Memories of Murder,2003,8.1,82.0,143762,0.01,132
273,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,959022,309.13,131
274,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,585467,42.34,119
275,Star Trek,2009,7.9,82.0,579461,257.73,127
276,Once Upon a Time in the West,1968,8.5,80.0,305606,5.32,165
277,28 Days Later...,2002,7.6,73.0,379423,45.06,113
278,Hunt for the Wilderpeople,2016,7.9,81.0,113783,5.2,101
279,Rush,2013,8.1,74.0,436936,26.95,123
280,Skyfall,2012,7.8,81.0,633808,304.36,143
281,WALL·E,2008,8.4,95.0,1010369,223.81,98
282,Seven Samurai,1954,8.6,98.0,318941,0.27,207
